song,artist,total_phrase,phrase_count,lyric
in brooklyn,al stewart,38,24,And oh, I'm back in the city again
in brooklyn,al stewart,38,25,You can tell by the smell of the hamburger stand in the rain
in brooklyn,al stewart,38,26,She spoke of astrology while muttering apologies
in brooklyn,al stewart,38,27,For coffee that tasted of hot dogs
in brooklyn,al stewart,38,28,I said, That's OK, mine was cold anyway, and just grand
in brooklyn,al stewart,38,29,Then she lay on the bed while the radio fed
in brooklyn,al stewart,38,30,Us with records and adverts for cat food
in brooklyn,al stewart,38,31,And I looked at her, holding my thoughts in the palm of my hand
in brooklyn,al stewart,38,32,And outside in the black lands
in brooklyn,al stewart,38,33,The evening came and went
in brooklyn,al stewart,38,34,And the bums in the street begging money for one last drink
in brooklyn,al stewart,38,35,Are hanging round the liquor stores trying to get a foot in
in brooklyn,al stewart,38,36,And the girl from Pittsburgh and I made love on a mattress with the new moon looking
in brooklyn,al stewart,38,37,And in the cool evening breeze I was down on my knees in Brooklyn
brooklyn,buckcherry,34,0,Take a flight to London, sing my song
brooklyn,buckcherry,34,1,Bring me back to New York, that's where I get paid
brooklyn,buckcherry,34,2,Dance with the ladies all night long
brooklyn,buckcherry,34,3,Take a train to Brooklyn tryin' to get laid
brooklyn,buckcherry,34,4,I see you're walkin' away
brooklyn,buckcherry,34,5,Don't be afraid I won't bite hard
brooklyn,buckcherry,34,6,It's better than being alone
brooklyn,buckcherry,34,7,Black out in Brooklyn I'm so hard
brooklyn,buckcherry,34,8,Naked with lady, crashed my car
brooklyn,buckcherry,34,9,Maxed out all of my credit cards
brooklyn,buckcherry,34,10,Blacked out in Brooklyn, all night long
brooklyn,buckcherry,34,11,Brooklyn!
brooklyn,buckcherry,34,12,Heading out to Detroit got the call
brooklyn,buckcherry,34,13,The motor city's jumping
brooklyn,buckcherry,34,14,Maybe I should stay
brooklyn,buckcherry,34,15,Curtain call's coming, we'll have to stall
brooklyn,buckcherry,34,16,A red heads running away back stage
brooklyn,buckcherry,34,17,I see her coming this way
brooklyn,buckcherry,34,18,Don't be afraid I won't bite hard
brooklyn,buckcherry,34,19,It's better than being alone
brooklyn,buckcherry,34,20,Black out in Brooklyn I'm so hard
brooklyn,buckcherry,34,21,Naked with lady, crashed my car
brooklyn,buckcherry,34,22,Maxed out all of my credit cards
brooklyn,buckcherry,34,23,Blacked out in Brooklyn, all night long
brooklyn,buckcherry,34,24,Brooklyn!
brooklyn,buckcherry,34,25,I get in, I get out
brooklyn,buckcherry,34,26,Jump in a cab at a quarter to midnight
brooklyn,buckcherry,34,27,I show up, we get down
brooklyn,buckcherry,34,28,And the party gets started again
brooklyn,buckcherry,34,29,Blacked out in Brooklyn I'm so hard
brooklyn,buckcherry,34,30,Naked with lady, crashed my car
brooklyn,buckcherry,34,31,Maxed out all of my credit cards
brooklyn,buckcherry,34,32,Blacked out in Brooklyn, all night long
brooklyn,buckcherry,34,33,Brooklyn!
positively 4th street,bryan ferry,32,0,You got a lotta nerve
positively 4th street,bryan ferry,32,1,To say you are my friend
positively 4th street,bryan ferry,32,2,When I was down
positively 4th street,bryan ferry,32,3,You just stood there grinning
positively 4th street,bryan ferry,32,4,You got a lotta nerve
positively 4th street,bryan ferry,32,5,To say you got a hand to lend
positively 4th street,bryan ferry,32,6,You just wanna be
positively 4th street,bryan ferry,32,7,On the side that's winning
positively 4th street,bryan ferry,32,8,You say I let you down
positively 4th street,bryan ferry,32,9,You know it's not like that
positively 4th street,bryan ferry,32,10,If you're so hurt
positively 4th street,bryan ferry,32,11,Why then don't you show it?
positively 4th street,bryan ferry,32,12,You say you lost your faith
positively 4th street,bryan ferry,32,13,But that's not where it's at
positively 4th street,bryan ferry,32,14,You had no faith to lose
positively 4th street,bryan ferry,32,15,And you know it
positively 4th street,bryan ferry,32,16,I know the reason
positively 4th street,bryan ferry,32,17,That you talk behind my back
positively 4th street,bryan ferry,32,18,I used to be among the crowd
positively 4th street,bryan ferry,32,19,You're in with
positively 4th street,bryan ferry,32,20,Do you take me for such a fool
positively 4th street,bryan ferry,32,21,Think I'd make contact?
positively 4th street,bryan ferry,32,22,With the one who tries to hide
positively 4th street,bryan ferry,32,23,What he don't know to begin with
positively 4th street,bryan ferry,32,24,I wish that for just one time
positively 4th street,bryan ferry,32,25,You could stand inside my shoes
positively 4th street,bryan ferry,32,26,And just for that one moment
positively 4th street,bryan ferry,32,27,I could be you
positively 4th street,bryan ferry,32,28,Yes, I wish that for just one time
positively 4th street,bryan ferry,32,29,You could stand inside my shoes
positively 4th street,bryan ferry,32,30,You'd know what a drag it is
positively 4th street,bryan ferry,32,31,To see you
manhattan,eric johnson,4,0,Artist: Eric Johnson
manhattan,eric johnson,4,1,Album: Venus Isle
manhattan,eric johnson,4,2,Track: Manhattan
manhattan,eric johnson,4,3,Instrumental
smile,50 cent,84,0,Yeah, this somethin' special why'know, somethin' epic
smile,50 cent,84,1,Lloyd Banks, you know
smile,50 cent,84,2,'Cause a nigga thuggin' don't mean he don't
smile,50 cent,84,3,Don't wanna see you smile baby
smile,50 cent,84,4,I wanna be the reason you smile
smile,50 cent,84,5,I wanna be the reason you smile
smile,50 cent,84,6,I wanna be the reason you smile
smile,50 cent,84,7,After you wipe away your tears and dry your eyes
smile,50 cent,84,8,I'm gettin' the feelin', you wanna take revenge
smile,50 cent,84,9,From the conversations, we have and the way it ends
smile,50 cent,84,10,You wanna discuss me in front of your lady friends
smile,50 cent,84,11,That's why it's just me and my Mercedes Benz
smile,50 cent,84,12,It all depends, maybe if we make amends
smile,50 cent,84,13,We can start from scratch
smile,50 cent,84,14,Learn to control your temper and remarks in fact
smile,50 cent,84,15,We plan to be platonic with our hearts in tact
smile,50 cent,84,16,So every time we separate, somebody's marchin' back
smile,50 cent,84,17,You're amazing in the sack, eyes slanted like you're Asian
smile,50 cent,84,18,But you're black, God bless whoever gave you alla that
smile,50 cent,84,19,If you seen her from the back, you'd understand why dis feel like that
smile,50 cent,84,20,And ain't a flaw to her toes, the Lord knows
smile,50 cent,84,21,Her pussy good enough to miss award shows
smile,50 cent,84,22,And I ain't gotta say nothin', she just knows
smile,50 cent,84,23,By the way I look at her to take off all her clothes up and down
smile,50 cent,84,24,Whenever I'm not around and you feelin' down
smile,50 cent,84,25,Let the thought of me be
smile,50 cent,84,26,(I wanna be the reason you smile)
smile,50 cent,84,27,I don't wanna see you frown, like them kids watch a clown
smile,50 cent,84,28,I wanna bring you joy and be
smile,50 cent,84,29,(I wanna be the reason you smile)
smile,50 cent,84,30,Baby, you know my style, you know how I get down
smile,50 cent,84,31,I provide by any means to be
smile,50 cent,84,32,(I wanna be the reason you smile)
smile,50 cent,84,33,We done been through ups and downs, had drama for a while
smile,50 cent,84,34,I'm just happy I'm around to be
smile,50 cent,84,35,(I wanna be the reason you smile)
smile,50 cent,84,36,The main reason I been lookin' at you pitiful
smile,50 cent,84,37,What about the half of this shit I done did to you
smile,50 cent,84,38,Violated and tiptoed into a crib or two
smile,50 cent,84,39,I've come clean to be a bigger individual
smile,50 cent,84,40,Even though you're busy boo, the evening's when I visit you
smile,50 cent,84,41,Kinda makes me feel lucky, 'cause I see niggaz
smile,50 cent,84,42,When you tease 'em with your physical
smile,50 cent,84,43,She wanna rack up her brooms, I ain't got no more room left
smile,50 cent,84,44,Wild drama, section 8 princess
smile,50 cent,84,45,My foreign chick bad, but she been stressed
smile,50 cent,84,46,'Cause it's hard to communicate
smile,50 cent,84,47,'Cause she don't speak-a no English
smile,50 cent,84,48,I been around the world from state to state
smile,50 cent,84,49,But now I'm back bustin' in your bathroom
smile,50 cent,84,50,Got you laughin' in your shower cap
smile,50 cent,84,51,Let's get it on
smile,50 cent,84,52,'Cause I'm leavin' in a hour, fly-through
smile,50 cent,84,53,Don't matter she's mad, even when I holla back
smile,50 cent,84,54,All I really need your attention for a while
smile,50 cent,84,55,And, I bet you I can make you smile
smile,50 cent,84,56,Whenever I'm not around and you feelin' down
smile,50 cent,84,57,Let the thought of me be
smile,50 cent,84,58,(I wanna be the reason you smile)
smile,50 cent,84,59,I don't wanna see you frown, like them kids watch a clown
smile,50 cent,84,60,I wanna bring you joy and be
smile,50 cent,84,61,(I wanna be the reason you smile)
smile,50 cent,84,62,Baby, you know my style, you know how I get down
smile,50 cent,84,63,I provide by any means to be
smile,50 cent,84,64,(I wanna be the reason you smile)
smile,50 cent,84,65,We done been through ups and downs, had drama for a while
smile,50 cent,84,66,I'm just happy I'm around to be
smile,50 cent,84,67,(I wanna be the reason you smile)
smile,50 cent,84,68,Whenever I'm not around and you feelin' down
smile,50 cent,84,69,Let the thought of me be
smile,50 cent,84,70,(I wanna be the reason you smile)
smile,50 cent,84,71,I don't wanna see you frown, like them kids watch a clown
smile,50 cent,84,72,I wanna bring you joy and be
smile,50 cent,84,73,(I wanna be the reason you smile)
smile,50 cent,84,74,Baby, you know my style, you know how I get down
smile,50 cent,84,75,I provide by any means to be
smile,50 cent,84,76,(I wanna be the reason you smile)
smile,50 cent,84,77,We done been through ups and downs, had drama for a while
smile,50 cent,84,78,I'm just happy I'm around to be
smile,50 cent,84,79,(I wanna be the reason you smile)
smile,50 cent,84,80,I wanna be the reason you smile
smile,50 cent,84,81,I wanna be the reason you smile
smile,50 cent,84,82,I wanna be the reason you smile
smile,50 cent,84,83,After you wipe away your tears and dry your eyes
my life,50 cent,90,0,My life, my life
my life,50 cent,90,1,Makes me wanna run away
my life,50 cent,90,2,There's no place to go
my life,50 cent,90,3,No place to go
my life,50 cent,90,4,All the confusion
my life,50 cent,90,5,It's an illusion like a movie
my life,50 cent,90,6,Got nowhere to go
my life,50 cent,90,7,Nowhere to run and hide
my life,50 cent,90,8,No matter how hard I try
my life,50 cent,90,9,Yeah, 03, I went from plain filthy to filthy rich
my life,50 cent,90,10,Man, the emotions change so I can never trust a bitch
my life,50 cent,90,11,I tried to help niggas get on, they turned around and spit
my life,50 cent,90,12,Right in my face, so Game and Buck, both can suck a dick
my life,50 cent,90,13,Now when you hear 'em it may sound like it's some other shit
my life,50 cent,90,14,'Cause I'm not writing anymore, they not making hits
my life,50 cent,90,15,I'm far from perfect, there's so many lessons I done learned
my life,50 cent,90,16,If money is evil look at all the evil I done earned
my life,50 cent,90,17,I'm doing what I'm supposed to, I'm a writer, I'm a fighter
my life,50 cent,90,18,Entrepreneur, fresh out the sewer, watch me maneuver
my life,50 cent,90,19,What's it to ya? The track I lace it, it's better than basic
my life,50 cent,90,20,This is my recovery, my comeback, kid
my life,50 cent,90,21,My life, my life
my life,50 cent,90,22,Makes me wanna run away
my life,50 cent,90,23,There's no place to go
my life,50 cent,90,24,No place to go
my life,50 cent,90,25,All the confusion
my life,50 cent,90,26,It's an illusion like a movie
my life,50 cent,90,27,Got nowhere to go
my life,50 cent,90,28,Nowhere to run and hide
my life,50 cent,90,29,No matter how hard I try
my life,50 cent,90,30,While you were sipping your own Kool-Aid getting your buzz heavy
my life,50 cent,90,31,I was in the fucking sheds sharpening my machete
my life,50 cent,90,32,Sipping on some of that revenge juice, getting my taste buds ready
my life,50 cent,90,33,To wolf down this spaghetti, or should I say this spaghett-even?
my life,50 cent,90,34,I think you fucking meatballs keep on just forgetting
my life,50 cent,90,35,Thought he was finished, motherfucker, it's only the buginning
my life,50 cent,90,36,He's buggin' again, he's straight thuggin', fuck who he's offending
my life,50 cent,90,37,He'll rip your vocal chords out and have them bitches plu~gged in the
my life,50 cent,90,38,Motherfucking wall with three thousand volts of electrucity
my life,50 cent,90,39,Now take the other end of 'em, then plug them motherfuckers in each
my life,50 cent,90,40,One of your eye sockets cause I thought you might finally fucking see
my life,50 cent,90,41,That'll teach you to go voicing your cocksuckin' opinion to me
my life,50 cent,90,42,I done put my blood, my sweat and my tears in this shit
my life,50 cent,90,43,Fuck letting up, you're gonna end up rugretting you ever betted against me
my life,50 cent,90,44,Feels like I'mma snap any minute, yeah, it's happening again
my life,50 cent,90,45,I'm thinking about just saying
my life,50 cent,90,46,"Mother fuck everybody that's up in this bitch, but 50!"
my life,50 cent,90,47,'Cause this is all I know, this is why so hard I go
my life,50 cent,90,48,I swear to God I put my heart and soul into this more than anybody knows
my life,50 cent,90,49,I'm trapped, so all I do is rap, but every time I rap I'm more trapped
my life,50 cent,90,50,And I rap myself right into this bubble, oh I guess it's bubble wrap
my life,50 cent,90,51,This is like a vicious cycle, my life's in a crisis
my life,50 cent,90,52,Christ, how was I supposed to know shit would turn up like it did?
my life,50 cent,90,53,Feels like I'm going psycho again
my life,50 cent,90,54,And I might just blow my lid
my life,50 cent,90,55,Shit, I almost wish that I would have never made Recovery, kid
my life,50 cent,90,56,'Cause I'm running in circles with
my life,50 cent,90,57,My life, my life
my life,50 cent,90,58,Makes me wanna run away
my life,50 cent,90,59,There's no place to go
my life,50 cent,90,60,No place to go
my life,50 cent,90,61,All the confusion
my life,50 cent,90,62,It's an illusion like a movie
my life,50 cent,90,63,Got nowhere to go
my life,50 cent,90,64,Nowhere to run and hide
my life,50 cent,90,65,No matter how hard I try
my life,50 cent,90,66,I haven't been this fucking confused since I was a kid
my life,50 cent,90,67,Sold like forty million records, people forgot what I did
my life,50 cent,90,68,Maybe this is for me, maybe
my life,50 cent,90,69,Maybe I'm supposed to go crazy
my life,50 cent,90,70,Maybe I'll do it three A.M. in the morning like Shady
my life,50 cent,90,71,Psycho killer, Michael Myers, I'm on fire like a lighter
my life,50 cent,90,72,Try to say this ain't classic, get your ass kicked mad quick
my life,50 cent,90,73,Wrap your head up in plastic, pussy
my life,50 cent,90,74,Now pick the casket, dirt nap with the maggots
my life,50 cent,90,75,It's tragic, it's sad it's
my life,50 cent,90,76,Never gonna end, now we number one again
my life,50 cent,90,77,With that frown on your face, and your heart full of hate
my life,50 cent,90,78,Accept it, respect it
my life,50 cent,90,79,This a gift, God-given, like the air in the lungs
my life,50 cent,90,80,Of every fucking thing livin'
my life,50 cent,90,81,My life, my life
my life,50 cent,90,82,Makes me wanna run away
my life,50 cent,90,83,There's no place to go
my life,50 cent,90,84,No place to go
my life,50 cent,90,85,All the confusion
my life,50 cent,90,86,It's an illusion like a movie
my life,50 cent,90,87,Got nowhere to go
my life,50 cent,90,88,Nowhere to run and hide
my life,50 cent,90,89,No matter how hard I try
i run new york,50 cent,68,0,[chorus - 50 Cent]
i run new york,50 cent,68,1,The walls have ears lil' nigga, I run New York,
i run new york,50 cent,68,2,Even when I ain't there lil' nigga, I run New York,
i run new york,50 cent,68,3,I said the walls have ears lil' nigga, I hear when you talk,
i run new york,50 cent,68,4,Let's get this shit clear lil' nigga, I run New York
i run new york,50 cent,68,5,[verse 1 - 50 Cent]
i run new york,50 cent,68,6,I wake up, stare at the ceilin',
i run new york,50 cent,68,7,I'm alive, what a beautiful feelin',
i run new york,50 cent,68,8,I put my vest on right after I put on my drawers,
i run new york,50 cent,68,9,It's a habit I'm always prepared for war,
i run new york,50 cent,68,10,See my life's like some shit, you seen in a flick,
i run new york,50 cent,68,11,Bitches act like pornstars when they sit on a dick,
i run new york,50 cent,68,12,When I was hit and out the game I said "one more flick",
i run new york,50 cent,68,13,Test my aim in the range I'm like "one more clip",
i run new york,50 cent,68,14,It's my brain, I'm insane, I be on some shit,
i run new york,50 cent,68,15,Man I run Interscope, Jada's tryna annoy me,
i run new york,50 cent,68,16,Nuthin' but another disgruntled employee,
i run new york,50 cent,68,17,He been in the game ten years and he still ain't rich,
i run new york,50 cent,68,18,Even his mama upset that he still ain't shit,
i run new york,50 cent,68,19,And he keep runnin his yap, like I'ma take all that,
i run new york,50 cent,68,20,One more word out his mouth I'll push Style's shit back,
i run new york,50 cent,68,21,See the nozzle on my tre pound is three inches long,
i run new york,50 cent,68,22,And the trigger on the fo' fo's extremly strong,
i run new york,50 cent,68,23,With a little tre douche is like pop, pop,
i run new york,50 cent,68,24,Chase his ass up the block til his bitch ass drop,
i run new york,50 cent,68,25,And the verses he be kickin' none of 'em hot,
i run new york,50 cent,68,26,Cos he ain't got none of that shit he says he got,
i run new york,50 cent,68,27,And he ain't did none of that shit he said he did,
i run new york,50 cent,68,28,And I ain't got time to be talkin 'bout this shit, (fuckin' faggot)
i run new york,50 cent,68,29,[chorus - 50 Cent]
i run new york,50 cent,68,30,I guess it's easy to see lil' nigga, I run New York,
i run new york,50 cent,68,31,Yeah I live in CC lil' nigga, but I run New York,
i run new york,50 cent,68,32,And I don't go to parties lil' nigga, but I run New York,
i run new york,50 cent,68,33,And I stay gettin Cs lil' nigga, cos I run New York
i run new york,50 cent,68,34,(Yayo, tell 'em I run New York)
i run new york,50 cent,68,35,[verse 2 - Tony Yayo]
i run new york,50 cent,68,36,My gun is longer than yours, nigga, call your recouster,
i run new york,50 cent,68,37,da Locks made more money than them thin tiny suits,
i run new york,50 cent,68,38,The game about da south, drugs and rappin,
i run new york,50 cent,68,39,Jada fuckin punchlines, my serp went platinum,
i run new york,50 cent,68,40,Style's and sheek louch went double plastic,
i run new york,50 cent,68,41,Yayo, Buck and Banks was puttin out classics,
i run new york,50 cent,68,42,A hundred shots, a hundred clips, y'all ready to die,
i run new york,50 cent,68,43,Fat Joe ain't a gangsta, he afraid to fly,
i run new york,50 cent,68,44,Automatic mossberg, who want a piece of this punk,
i run new york,50 cent,68,45,I had Ja Rule buryed and some high heel punk,
i run new york,50 cent,68,46,Feds stuck in a bullet-proof, man fuck that,
i run new york,50 cent,68,47,Homie, shoot up my whip, you only leave a scratch,
i run new york,50 cent,68,48,Yo, I slip cocaine, in your hotel lobby,
i run new york,50 cent,68,49,And beat you wit my pistol like Kane did Charlie,
i run new york,50 cent,68,50,It's T.O.N.Y.Y.A.Y.O.,
i run new york,50 cent,68,51,My whole clique got doe, my Os on the fly hole,
i run new york,50 cent,68,52,C4s, we fly on linz,
i run new york,50 cent,68,53,And my rocks lookin like, Flex likes yo' benz,
i run new york,50 cent,68,54,[chorus - 50 Cent]
i run new york,50 cent,68,55,When I'm down in DC lil' nigga, I tell 'em, I run New York,
i run new york,50 cent,68,56,When I'm out in Philly lil' homie, I run New York,
i run new york,50 cent,68,57,When I'm in VA I tell niggaz guess what, I run New York,
i run new york,50 cent,68,58,I'm in NC niggaz holla at the moon, cos I run New York,
i run new york,50 cent,68,59,(Yayo tell 'em I run New York)
i run new york,50 cent,68,60,[50 Cent talking]
i run new york,50 cent,68,61,Now who the fuck told that lil' nigga he can talk to me like that? Catch my bottle up and roll him somewhere, [laughing] D.Y. wanna talk to me, wanna tell
i run new york,50 cent,68,62,me what's goin on. Want me to serve him somethin' for real, cos I'll serve, murder [laughing] eh, eh get Puffy on the phone, tell him I said, tell the
i run new york,50 cent,68,63,nigga I said get out the mil for a second let me talk to him. Puffy da only nigga a muthafucka pops, tell him I won't buy the nigga Jadakiss pokes. Nigga
i run new york,50 cent,68,64,still ain't a coupe. Ah, nigga, you in da way. You owe money nigga, aw man, now why you make me put yo' business in da street. Now niggaz know you ain't
i run new york,50 cent,68,65,shit, damn! I see yo' punk ass in da paper, cos you ain't returnin them jewels you borrowed, you better give 'em back, you dirty nigga. Ain't none of that
i run new york,50 cent,68,66,shit you be wearin yours. [laughing] We coulda kept this secret, nigga. These niggaz I'm supposed to beef wit. Aw man, this fight is fixed, you been set
i run new york,50 cent,68,67,up, [laughing] that's what he gonna say, "they set me up, man." I ain't even go through that
in da hood,50 cent,51,0,I still be riding through the 'hood
in da hood,50 cent,51,1,Into Compton, it's all good
in da hood,50 cent,51,2,From Southside Queens to Inglewood
in da hood,50 cent,51,3,We representin' like we should
in da hood,50 cent,51,4,I'm hot boy, I told you before
in da hood,50 cent,51,5,Got that Benz and that Hummer off the showroom floor
in da hood,50 cent,51,6,I know you hate it when I pop up, wrist all rocked up
in da hood,50 cent,51,7,In The 'hood, empty niggas locked up, they rats all knocked up
in da hood,50 cent,51,8,Baby after baby, the 'hood is crazy
in da hood,50 cent,51,9,Niggas'll set you up and wet you up, trust me they shady
in da hood,50 cent,51,10,Got a pet bulldog, I keep under my linen
in da hood,50 cent,51,11,It don't bark, they spark when the revolver spinnin'
in da hood,50 cent,51,12,We winnin'
in da hood,50 cent,51,13,I still be riding through the 'hood
in da hood,50 cent,51,14,Into Compton, it's all good
in da hood,50 cent,51,15,From Southside Queens to Inglewood
in da hood,50 cent,51,16,We representin' like we should
in da hood,50 cent,51,17,Hold up, hold up, get a good look at my rims
in da hood,50 cent,51,18,God damn, look at them twenty-fours diamonds spin
in da hood,50 cent,51,19,Now the D's, they harass me in the 'hood
in da hood,50 cent,51,20,A few times, niggas try to blast me in the 'hood
in da hood,50 cent,51,21,Fuck it's all good
in da hood,50 cent,51,22,Catch me in the coupe - on the lean
in da hood,50 cent,51,23,Wit' needles and samples and diesels for the fiends
in da hood,50 cent,51,24,The money stay on my mind, so I stay on the grind
in da hood,50 cent,51,25,Plus niggas like to stun, so I stay wit' my nine
in da hood,50 cent,51,26,I ain't the type nigga that be out, runnin' his mouth
in da hood,50 cent,51,27,Talkin' gangsta and shit, with my gun in the house
in da hood,50 cent,51,28,Now homie, you better get to know me better
in da hood,50 cent,51,29,Before you be bleedin' pints of blood into Iceberg sweater
in da hood,50 cent,51,30,When the tails come flyin' up out the beretta
in da hood,50 cent,51,31,You gon' feel like it's yo' fault and say 'Man I knew better'
in da hood,50 cent,51,32,Look dogg, I don't play that shit
in da hood,50 cent,51,33,I pull that thing out I'ma spray that shit
in da hood,50 cent,51,34,That how I get down
in da hood,50 cent,51,35,Brooklyn she's so sick in the hood
in da hood,50 cent,51,36,Got these fat bitches get the spit in the hood
